content,label,type,content_without_emojis,content_preprocessed
"je rencontre le même problème que ceux qui commandent et dont le colis ne bouge pas. le numéro de suivi a été créé le lendemain de la commande (6 novembre), et depuis, le colis n'a pas été expédié. j'ai contacté deux fois le service client et même sur instagram, sans obtenir de réponse. les avis qui vont dans mon sens m'inquiètent. de plus, il n'y a plus paypal, je ne peux même pas demander de remboursement via une plateforme sécurisée comme certains ont pu le faire, je suis dégoûtée. je n'ai jamais eu ce temps d'attente sans aucune réponse en commandant sur d'autres sites.  suite : bonjour, non, l'adresse sur la photo est exactement l'adresse à laquelle je reçois tous mes colis. sur le suivi la poste, le colis n'a jamais été envoyé. vous avez déclenché un envoi avec un nouveau numéro de suivi plusieurs heures après que j'aie déposé mon avis ici et fait une demande de chargeback à ma banque (j'ai été remboursé grâce à l'intervention de la banque). c'est pour cette raison que je n'ai pas récupéré le colis. je n'ai aucune envie d'acheter chez une entreprise avec si peu de transparence et qui n'assume pas son manque de professionnalisme. et bien évidemment, je vous avais répondu par mail à la suite de votre réponse (pour ma demande de remboursement que vous avez totalement ignorée en envoyant le colis dans la foulée) pour garder une trace de tout cela et éviter que vous ne demandiez l'annulation du chargeback (ce qui est assez courant).",neg,commentaire,"je rencontre le même problème que ceux qui commandent et dont le colis ne bouge pas. le numéro de suivi a été créé le lendemain de la commande (6 novembre), et depuis, le colis n'a pas été expédié. j'ai contacté deux fois le service client et même sur instagram, sans obtenir de réponse. les avis qui vont dans mon sens m'inquiètent. de plus, il n'y a plus paypal, je ne peux même pas demander de remboursement via une plateforme sécurisée comme certains ont pu le faire, je suis dégoûtée. je n'ai jamais eu ce temps d'attente sans aucune réponse en commandant sur d'autres sites.  suite : bonjour, non, l'adresse sur la photo est exactement l'adresse à laquelle je reçois tous mes colis. sur le suivi la poste, le colis n'a jamais été envoyé. vous avez déclenché un envoi avec un nouveau numéro de suivi plusieurs heures après que j'aie déposé mon avis ici et fait une demande de chargeback à ma banque (j'ai été remboursé grâce à l'intervention de la banque). c'est pour cette raison que je n'ai pas récupéré le colis. je n'ai aucune envie d'acheter chez une entreprise avec si peu de transparence et qui n'assume pas son manque de professionnalisme. et bien évidemment, je vous avais répondu par mail à la suite de votre réponse (pour ma demande de remboursement que vous avez totalement ignorée en envoyant le colis dans la foulée) pour garder une trace de tout cela et éviter que vous ne demandiez l'annulation du chargeback (ce qui est assez courant).","['rencontre', 'problème', 'commander', 'colis', 'bouger', 'numéro', 'suivi', 'être', 'créer', 'lendemain', 'commande', '6', 'novembre', 'colis', 'être', 'expédier', 'jai', 'contacter', 'fois', 'service', 'client', 'instagram', 'obtenir', 'réponse', 'avis', 'sens', 'minquièter', 'ny', 'paypal', 'demander', 'remboursement', 'plateforme', 'sécuriser', 'faire', 'dégoûter', 'nai', 'jamais', 'temps', 'dattent', 'aucun', 'réponse', 'commandant', 'dautre', 'site', 'suite', 'bonjour', 'non', 'ladresse', 'photo', 'ladresse', 'recevoir', 'colis', 'suivi', 'poste', 'colis', 'jamais', 'être', 'envoyer', 'avoir', 'déclencher', 'envoi', 'numéro', 'suivre', 'heure', 'jaie', 'déposer', 'avis', 'ici', 'demande', 'chargeback', 'banque', 'jai', 'être', 'rembourser', 'grâce', 'lintervention', 'banque', 'cest', 'raison', 'nai', 'récupérer', 'colis', 'nai', 'aucun', 'envie', 'dacheter', 'entreprise', 'transparence', 'nassume', 'manque', 'professionnalisme', 'bien', 'évidemment', 'répondre', 'mail', 'suite', 'réponse', 'demande', 'remboursement', 'avoir', 'totalement', 'ignorer', 'envoyer', 'colis', 'foulée', 'garder', 'trace', 'éviter', 'demander', 'lannulation', 'chargeback', 'courant']"
"commande non reçu arnaque. j’ai commandé en mai 2024 pour 40€ de chocolat que je n’ai jamais reçu, nous sommes en mai 2025.",neg,commentaire,"commande non reçu arnaque. j’ai commandé en mai 2024 pour 40€ de chocolat que je n’ai jamais reçu, nous sommes en mai 2025.","['commande', 'non', 'recevoir', 'arnaque', 'commander', 'mai', '2024', '40', 'euro', 'chocolat', 'jamais', 'recevoir', 'être', 'mai', '2025']"
"clients réguliers de colombus géant brest, nous trouvons l'accueil et les produits excellents. une mention particulière pour lola et mathilde pour leur professionnalisme!",pos,commentaire,"clients réguliers de colombus géant brest, nous trouvons l'accueil et les produits excellents. une mention particulière pour lola et mathilde pour leur professionnalisme!","['client', 'régulier', 'colombu', 'géant', 'brest', 'trouver', 'laccueil', 'produit', 'excellent', 'mention', 'particulière', 'lola', 'mathilde', 'professionnalisme']"
"boulangerie ange, nîmes caremeau,déçue, la boulangerie ne joue pas le jeu avec le concours des fèves et le 1 an de pain à gagner, ils mettent des fèves hors jeu,aprés renseignement prit soit disant ils sont en rupture déçue, et dommage de mentir pour vendre!! et galette de la veille vendue, pour du frais!! snif.",neg,commentaire,"boulangerie ange, nîmes caremeau,déçue, la boulangerie ne joue pas le jeu avec le concours des fèves et le 1 an de pain à gagner, ils mettent des fèves hors jeu,aprés renseignement prit soit disant ils sont en rupture déçue, et dommage de mentir pour vendre!! et galette de la veille vendue, pour du frais!! snif.","['boulangerie', 'ange', 'nîme', 'caremeaudéçue', 'boulangerie', 'joue', 'jeu', 'concours', 'fève', '1', 'an', 'pain', 'gagner', 'mettre', 'fève', 'jeuapré', 'renseignement', 'prendre', 'dire', 'rupture', 'déçu', 'dommage', 'mentir', 'vendre', 'galette', 'veille', 'vendre', 'frais', 'snif']"
cela est normal que je donne un mauvais avis car on me demande si cela c est bien passé mes je n ai toujours pas mon colis,neg,commentaire,cela est normal que je donne un mauvais avis car on me demande si cela c est bien passé mes je n ai toujours pas mon colis,"['normal', 'donne', 'mauvais', 'avi', 'demande', 'c', 'bien', 'passer', 'n', 'colis']"
je commande régulièrement sur vinatis et je ne suis jamais déçu voila pourquoi je reviens.,pos,commentaire,je commande régulièrement sur vinatis et je ne suis jamais déçu voila pourquoi je reviens.,"['commande', 'régulièrement', 'vinati', 'jamais', 'décevoir', 'revenir']"
"après quelques semaines d'utilisation, les lumières de mon four rosières flambant neuf acheté cet été ne fonctionnent déjà plus. contacté, le sav de la marque explique que ce problème n'est pas couvert par la garantie. charge à moi de me débrouiller pour en trouver des neuves et les acheter. sans commentaires....",neg,commentaire,"après quelques semaines d'utilisation, les lumières de mon four rosières flambant neuf acheté cet été ne fonctionnent déjà plus. contacté, le sav de la marque explique que ce problème n'est pas couvert par la garantie. charge à moi de me débrouiller pour en trouver des neuves et les acheter. sans commentaires....","['semaine', 'dutilisation', 'lumière', 'four', 'rosière', 'flamber', 'neuf', 'acheter', 'être', 'fonctionner', 'contacter', 'sav', 'marque', 'expliquer', 'problème', 'nest', 'couvert', 'garantie', 'charg', 'débrouiller', 'trouver', 'neuve', 'acheter', 'commentaire']"
"commande traitée correctement ,livraison dans les temps, produits commandés qui correspondent à mes attentes.",pos,commentaire,"commande traitée correctement ,livraison dans les temps, produits commandés qui correspondent à mes attentes.","['commande', 'traiter', 'correctement', 'livraison', 'temps', 'produire', 'commander', 'correspondre', 'attente']"
très mauvaise expérience produit payer pas livré et aucune réponse du service client malgré mes messages j'attends quelques jours avant de déclencher des démarches auprès des services de protection des consommateurs cordialement mr chaullet,neg,commentaire,très mauvaise expérience produit payer pas livré et aucune réponse du service client malgré mes messages j'attends quelques jours avant de déclencher des démarches auprès des services de protection des consommateurs cordialement mr chaullet,"['mauvais', 'expérience', 'produire', 'payer', 'livrer', 'aucun', 'réponse', 'service', 'client', 'message', 'jattend', 'jour', 'déclencher', 'démarche', 'auprès', 'service', 'protection', 'consommateur', 'cordialemer', 'mr', 'chaullet']"
"commande depuis pile une semaine pas encore livre , dommage c est une personne de 96 ans qui l attendait pour son anniversaire changer de chocolatier un piege",neg,commentaire,"commande depuis pile une semaine pas encore livre , dommage c est une personne de 96 ans qui l attendait pour son anniversaire changer de chocolatier un piege","['commande', 'pile', 'semaine', 'livre', 'dommage', 'c', '96', 'an', 'l', 'attendre', 'anniversaire', 'changer', 'chocolatier', 'piege']"
"ma commande était conforme à ma demande, très bien emballée, rapidement expédiée. cependant, jusqu'à la réception de mes bouteilles, je me suis demandée si je ne m'étais pas fait avoir... j'ai bien reçu des mails de confirmation d'inscription et de paiement, mais ils étaient très automatisés et il n'est pas possible de suivre l'état de sa commande sur le site. ne connaissant pas le site auparavant, je me suis posé des questions... ça ne faisait pas très pro. c'était inutile finalement puisque tout s'est très bien passé. j'espère que l'équipe améliorera cela.",pos,commentaire,"ma commande était conforme à ma demande, très bien emballée, rapidement expédiée. cependant, jusqu'à la réception de mes bouteilles, je me suis demandée si je ne m'étais pas fait avoir... j'ai bien reçu des mails de confirmation d'inscription et de paiement, mais ils étaient très automatisés et il n'est pas possible de suivre l'état de sa commande sur le site. ne connaissant pas le site auparavant, je me suis posé des questions... ça ne faisait pas très pro. c'était inutile finalement puisque tout s'est très bien passé. j'espère que l'équipe améliorera cela.","['commande', 'conforme', 'demande', 'bien', 'emballer', 'rapidement', 'expédier', 'jusquà', 'réception', 'bouteille', 'demander', 'méter', 'jai', 'bien', 'recevoir', 'mail', 'confirmation', 'dinscription', 'paiement', 'automatiser', 'nest', 'létat', 'commande', 'site', 'connaître', 'site', 'auparavant', 'poser', 'question', 'faire', 'pro', 'céter', 'inutile', 'finalement', 'sest', 'bien', 'passer', 'jespère', 'léquipe', 'améliorer']"
"j ai achete pour les fetes plusieurs boites pour offrir. j avais le souvenir de ce chocolatier de mon enfance,ca n as plus rien a voir. que ce soir les noirs ou les blancs c est toujours a l intérieur que de la crème dans presque tous les cas. vous savez pourquoi: le chocolat ça coute cher,la crème donc le remplissage ca coute rien. moralite: bien meilleur une bonne tablette d un célèbre chocolatier achetè au super du coin. essayez de voir par correspondance du cote de l italie. et comme d habitude une bonne raison de ne pas acheter en france quoiqu a la base leonidas c est belge",neg,commentaire,"j ai achete pour les fetes plusieurs boites pour offrir. j avais le souvenir de ce chocolatier de mon enfance,ca n as plus rien a voir. que ce soir les noirs ou les blancs c est toujours a l intérieur que de la crème dans presque tous les cas. vous savez pourquoi: le chocolat ça coute cher,la crème donc le remplissage ca coute rien. moralite: bien meilleur une bonne tablette d un célèbre chocolatier achetè au super du coin. essayez de voir par correspondance du cote de l italie. et comme d habitude une bonne raison de ne pas acheter en france quoiqu a la base leonidas c est belge","['j', 'achete', 'fete', 'boite', 'offrir', 'j', 'souvenir', 'chocolatier', 'enfanceca', 'n', 'rien', 'voir', 'soir', 'noir', 'blanc', 'c', 'l', 'intérieur', 'crème', 'presque', 'cas', 'savoir', 'chocolat', 'coute', 'cherla', 'crémer', 'remplissage', 'ca', 'coute', 'rien', 'moralite', 'bien', 'meilleur', 'bon', 'tablette', 'd', 'célèbre', 'chocolatier', 'achetè', 'super', 'coin', 'essayer', 'voir', 'correspondance', 'cote', 'l', 'italie', 'd', 'habitude', 'bon', 'raison', 'acheter', 'france', 'quoiqu', 'base', 'leonida', 'c', 'belge']"
société malhonnête je n’ai jamais reçu ma commande envoyée dans un dépôt alors que j’avais précisé livraison à domicile étant invalide à 80%… jamais reçu de remboursement a fuir…,neg,commentaire,société malhonnête je n’ai jamais reçu ma commande envoyée dans un dépôt alors que j’avais précisé livraison à domicile étant invalide à 80%… jamais reçu de remboursement a fuir…,"['société', 'malhonnête', 'jamais', 'recevoir', 'commande', 'envoyer', 'dépôt', 'préciser', 'livraison', 'domicile', 'invalide', '80', 'jamais', 'recevoir', 'remboursement', 'fuir']"
de bons produits à prix compétitifs.envoi rapide.merci,pos,commentaire,de bons produits à prix compétitifs.envoi rapide.merci,"['bon', 'produit', 'prix', 'compétitifsenvoi', 'rapidemerci']"
